country_name,gdp,pop,inc,exp,waste
Tuvalu,39216157.28,11097,5070,0,3989.4865
Nauru,125930267.7,13049,10730,0,6191.7505
Marshall Islands,179041793.9,53066,4250,0,8614
Kiribati,192869131.3,114395,3190,0,35723.8275
Palau,225308048.6,21503,15260,204456013.6,9426.7455
São Tomé and Príncipe,256822056.3,0,0,0,25586.5
"Micronesia, Fed. Sts.",296282644,104937,3390,0,26039.57
Tonga,406237705.3,107122,4300,0,17238.20175
Dominica,506021862.9,73543,7360,0,13176
American Samoa,534555066.1,55599,0,0,18989.49
Comoros,611370805.2,795601,1320,0,91013
St. Vincent and the Grenadines,729264939.6,109643,7290,875534651.9,31561.34925
Samoa,738041747,195125,4130,0,27399.09
Vanuatu,777052317.5,270402,2780,0,70225.489
St. Kitts and Nevis,858344680,54821,17090,0,32892.14
Solomon Islands,900859048.9,599419,1820,0,179971.9644
Grenada,931118693.5,107317,8350,0,29536.11394
Northern Mariana Islands,1051785360,55023,0,0,32761.4145
Guinea-Bissau,1062488925,1815698,650,2495963189,289514
"Gambia, The",1084318241,2038501,620,4111092761,193440.54
Seychelles,1287449683,94677,13830,1229169840,48000
Antigua and Barbuda,1344373698,100963,13870,0,30585
St. Lucia,1489854701,178015,8450,1563580279,77616.228
Central African Republic,1496562092,4594621,410,0,1105983
Belize,1602671549,366954,4410,0,101378.8303
Liberia,1627046588,4613823,620,5942053429,564466.7
San Marino,1746352442,33203,0,0,17174.68
Cabo Verde,1860165515,539560,3130,2292261540,132555
Bhutan,2234759342,797765,2730,3387944433,111314.05
Burundi,2297241392,10524117,270,5605572184,1872016
Greenland,2823634004,56186,0,0,50000
Guyana,2925825406,773303,4270,3417672455,179251.5
Lesotho,2980616573,2203821,1360,5590734191,73457
Andorra,3319880351,77281,0,0,43000
Sierra Leone,3355384560,7396190,490,10233928252,610222.09
Maldives,3600398618,427756,8140,0,211505.78
Timor-Leste,3765074847,1268671,2370,1539861748,63875
Fiji,3771168286,898760,5360,0,189389.594
Togo,4264876064,7606374,610,7936512512,1109030.45
Suriname,4527379879,558368,6610,0,78619.79915
Barbados,4637855785,284996,15170,3078780204,174815.4444
Montenegro,4662831376,622303,7090,7086292491,332000
Guam,5214914976,162896,0,0,141500
Eswatini,5246492516,1343098,3640,7986123311,218199.47
Mauritania,5574151157,4301018,1160,7685065725,454000
Kyrgyz Republic,6346700788,6079500,1110,19047987619,1113300
Kosovo,7129271792,1816200,3880,15313781413,319000
Moldova,7354798041,3551954,2510,20231503142,3981200
Haiti,7911616492,10847334,780,0,2309852.455
Niger,8106889865,20672987,370,13273714468,1865645.67
Tajikistan,8458800788,8734951,1110,21191616160,1787400
Malawi,8710223822,18091575,340,16595770447,1297844.48
Rwanda,8805014649,11917508,720,16956643468,4384969
Benin,9102277423,10872298,820,17069317058,685936.01
Guinea,9667718427,12395924,770,16143103315,596911
"Bahamas, The",10343803832,391232,28830,6677479971,264000
Madagascar,10356200861,24894551,400,27421210490,3768759.16
"Macedonia, FYR",10924716122,0,0,0,796585
Lao PDR,11102149875,6758353,2120,26164511152,351900
Armenia,11501998666,2924816,3750,19899991449,492800
West Bank and Gaza,11767216976,4551566,3460,18616465767,1387000
Mongolia,11825367387,3027398,3500,15545010848,2900000
Malta,11868476821,455356,23550,7378952560,269000
"Yemen, Rep.",11927030389,27584213,1180,0,4836820
Nicaragua,11955466051,6149928,2000,23780880877,1528816.293
Burkina Faso,12380518526,18646433,600,17707290868,2575251.11
Mauritius,12409842083,1263473,10640,16439025243,438000
Chad,12642608725,14452543,730,0,1358850.53
Brunei Darussalam,13301457675,423196,33160,4203732782,216253.156
Mali,13421822111,17994837,780,29402527282,1937354.44
Albania,13471082475,2876101,4320,22175328298,1142964
Jamaica,13801803130,2881355,4560,17272721603,1051694.575
"Congo, Rep.",14205686708,5125821,1820,12056981957,451200
Zimbabwe,14818986231,16150362,1290,33741515928,1449752
Mozambique,14846071335,28829476,490,0,2500000
Namibia,14950179757,2479713,4980,19214076173,256729
Equatorial Guinea,15045964750,1221490,8260,9201287570,198443.06
Georgia,15189614351,3727505,3830,0,800000
Iceland,16434890343,335439,55120,7734075850,525000
Senegal,16833353304,15411614,1270,6728736086,2454059.25
Botswana,16843294913,2250260,6880,15914905506,210854.4426
Cambodia,17009386902,15762370,1140,37632340983,1089000
Gabon,18912467101,1979786,7080,9082203161,238102.31
Bosnia and Herzegovina,18929698720,3516816,5140,29936510785,1248718
Papua New Guinea,19389192291,8084991,2670,0,1000000
Honduras,19545909275,9112867,2110,32443989948,2162027.696
Nepal,19856634053,28982771,770,51901577496,1768977.49
Afghanistan,21413614653,34656032,570,52717683827,5628525.37
Trinidad and Tobago,21519942195,1364962,16620,0,727874
El Salvador,21588556542,6344722,3510,39298858638,1648996.18
Estonia,23808677023,1315790,18300,18612677850,473000
Cyprus,24311614955,1170125,24660,18108340371,541000
Paraguay,26400622643,6725308,5390,49807927752,1818501.365
Bolivia,26758341469,10887882,3040,47080068882,2219052
Zambia,27037168289,16591390,1380,29654886030,2608268
Uganda,27483055272,41487965,660,53058785425,7045049.836
Latvia,28871503534,1959537,14580,26350989033,857000
Jordan,30811666897,9455802,3930,71939124707,2529997
Bahrain,31769062885,1425171,21380,23661607626,951942.9695
"Macao SAR, China",31920853732,612167,65190,14722895158,377942
"Congo, Dem. Rep.",32089998961,78736153,470,52547687459,14385226.02
Cameroon,35051979601,23439189,1380,56699134275,3270616.59
Côte d’Ivoire,36796468787,0,0,0,4440814.27
Libya,36808842591,6293253,4560,0,2147596.472
Turkmenistan,39563379206,5662544,6820,0,500000
Serbia,41308012850,7058322,5690,66351614387,1840000
Lebanon,42911390492,6006668,7250,75075023235,2040000
Panama,44789036003,4034119,12390,50504731557,1472262.215
Lithuania,45735444769,2868231,14800,49785775340,1300000
Costa Rica,46551438317,4857274,10770,53520852428,1460000
Tanzania,46775259596,55572201,970,82316438458,9276995
Ghana,48199090352,28206728,1830,1.02628E+11,3538274.978
Uruguay,48362932954,3444006,14980,44850559445,1260139.509
Tunisia,48682059522,11403248,3760,79180842261,2700000
Slovenia,50511749002,2065042,21720,32311983433,926000
Guatemala,51421926688,16582469,3800,1.02321E+11,2756740.971
Ethiopia,52347226230,102403196,660,1.20158E+11,6532786.97
Kenya,55409230682,48461567,1360,1.19079E+11,5595099
Bulgaria,56792405577,7127822,7580,77079762413,3011000
Azerbaijan,57195531762,9757812,4760,93607638109,2930349
Belarus,59187019676,9501534,5620,1.06668E+11,4280000
Croatia,61095271083,4174349,12360,50899118621,1654000
Uzbekistan,62469088152,31847900,2660,0,4000000
Luxembourg,63207264513,582014,71200,16553456668,356000
Dominican Republic,73664129265,10648791,6640,1.04454E+11,4063910
Myanmar,74469832820,52885223,1200,1.19564E+11,4677306.529
Oman,75054356307,4424762,16100,52209262877,1734885.15
Sudan,76149479953,39578828,2130,0,2831291
Sri Lanka,79907042295,21203000,3810,1.6815E+11,2631650
Ecuador,85056519293,16385068,5810,98722283742,5297211.143
Puerto Rico,93028633826,3406495,19710,0,4170953
Angola,1.03042E+11,28813463,3770,71322961593,4213643.585
Slovak Republic,1.04679E+11,5430798,16950,81941772189,1784000
Morocco,1.14784E+11,35276786,2890,1.40616E+11,6852000
Ukraine,1.24E+11,45004645,2310,2.6877E+11,15242025
Kuwait,1.42857E+11,4052584,35910,77140135243,1750000
Hungary,1.47183E+11,9814023,12940,1.18438E+11,3712000
Vietnam,1.64105E+11,94569072,2080,3.4055E+11,9570300
Bangladesh,1.67771E+11,162951560,1370,3.75656E+11,14778497.33
Qatar,1.70663E+11,2569804,64010,50291798875,1000990.016
New Zealand,1.76129E+11,4693200,39410,96066749215,3405000
Kazakhstan,1.88309E+11,17794055,8800,2.25049E+11,4659740
Peru,1.93653E+11,31773839,6120,2.41666E+11,8356711.13
Algeria,1.96035E+11,40606052,4380,1.93828E+11,12378740
Romania,2.00217E+11,19702332,9530,2.58403E+11,4895000
Iraq,2.13938E+11,37202572,5520,2.10339E+11,13140000
Pakistan,2.27867E+11,193203476,1420,7.2517E+11,30760000
Czech Republic,2.3134E+11,10566332,17590,1.5875E+11,3337000
Portugal,2.31745E+11,10325452,19950,1.81791E+11,4710000
Greece,2.44481E+11,10775971,18890,1.81757E+11,5477424
Finland,2.52692E+11,5495303,45590,1.23272E+11,2738000
"Egypt, Arab Rep.",2.60816E+11,95688681,3460,8.21588E+11,21000000
Chile,2.67904E+11,17909754,13420,2.31819E+11,6517000
"Hong Kong SAR, China",2.70105E+11,7336600,42970,2.55852E+11,5679816.465
Philippines,2.84349E+11,103320222,3570,5.40611E+11,14631922.9
Israel,2.87808E+11,8546000,36460,1.54924E+11,5400000
Singapore,2.9917E+11,5607283,52520,1.36281E+11,7704300
Ireland,3.32361E+11,4755335,53110,91970427949,2692537
Malaysia,3.44052E+11,31187265,10030,4.06847E+11,12982685
Denmark,3.4752E+11,5728010,57710,1.18226E+11,4485000
Colombia,3.66457E+11,48653419,6460,4.3498E+11,12150120
United Arab Emirates,3.84222E+11,9269612,40550,1.69088E+11,5413453.408
Thailand,4.07015E+11,68863514,5690,5.65609E+11,26853366
Austria,4.2004E+11,8736668,46130,2.2052E+11,4836000
South Africa,4.21209E+11,56015473,5470,4.11765E+11,18457232
Argentina,4.47518E+11,43847430,12220,0,17910550
Nigeria,4.56775E+11,185989640,2470,6.76448E+11,27614830.07
Norway,4.72766E+11,5234519,81620,1.30068E+11,2187000
Belgium,5.15103E+11,11331422,42530,2.50739E+11,4708000
"Iran, Islamic Rep.",5.40581E+11,80277428,5520,5.46423E+11,17885000
Sweden,5.60387E+11,9923085,54030,2.0659E+11,4377000
Poland,5.72132E+11,37970087,12710,5.82145E+11,10863000
Switzerland,6.4209E+11,8373338,82130,2.51329E+11,6056000
Saudi Arabia,6.90E+11,32275687,21610,5.50267E+11,16125700.58
Netherlands,8.90136E+11,17030314,46900,3.5652E+11,8855000
Indonesia,1.03786E+12,261115456,3400,1.43843E+12,65200000
Turkey,1.12251E+12,79512426,11180,1.00661E+12,31283000
Mexico,1.25904E+12,127540423,9410,1.36231E+12,53100000
"Korea, Rep.",1.30595E+12,51245707,27690,8.31018E+11,18218975
Australia,1.3493E+12,24190907,54190,6.22001E+11,13345000
Spain,1.46451E+12,46483569,27620,8.81644E+11,20151000
Russian Federation,1.65443E+12,144342396,9750,1.75507E+12,60000000
Canada,1.828E+12,36264604,43940,8.88564E+11,25103034
Italy,2.08064E+12,60627498,31810,1.27946E+12,29524000
Brazil,2.25691E+12,207652865,8930,1.83512E+12,79889010
India,2.46618E+12,1324171354,1690,4.53389E+12,168403240
United Kingdom,2.75762E+12,65595565,42420,1.61942E+12,31567000
France,2.80604E+12,66859768,38900,1.40867E+12,33399000
Germany,3.7817E+12,82348669,44360,2.03796E+12,51046000
Japan,6.05267E+12,126994511,37880,2.73365E+12,43981000
China,9.50516E+12,1378665000,8210,7.62796E+12,210000000
United States,1.69203E+13,323071342,57170,1.27669E+13,258000000
Aruba,,104822,23550,1744645190,88132.0167
Bermuda,,65341,0,0,82000
British Virgin Islands,,30661,0,0,21099.19
Cayman Islands,,60765,0,0,60000
Channel Islands,,164541,0,0,178933
Cuba,,11475982,0,0,2692691.98
Curacao,,159664,19070,0,24703.8132
Djibouti,,942333,1990,1665294116,114997.249
Eritrea,,0,0,0,726957.37
Faeroe Islands,,0,0,0,61000
French Polynesia,,280208,0,0,147000
Gibraltar,,34408,0,0,16954
Isle of Man,,83737,80340,0,50551
Liechtenstein,,37666,0,0,32382
Monaco,,38499,0,0,46000
New Caledonia,,276550,0,0,108157.384
Sint Maarten (Dutch part),,39969,0,0,0
Somalia,,14317996,0,0,2326099.17
South Sudan,,12230730,460,5904556526,2680681
St. Martin (French part),,31949,0,0,15479.5
Syrian Arab Republic,,18430453,0,0,4500000
Turks and Caicos Islands,,34900,25040,0,0
"Venezuela, RB",,31568179,0,0,9779093.14
Virgin Islands (U.S.),,107510,0,0,146500
